pair,a,b,a_d_eval,b_d_eval,ab_dev,ab_eval,ab_d_dev,ab_d_eval,category
1,61,101,-0.019983,-0.031408,0.819843,0.819597,-0.011217,0.004789,3
2,53,99,0.006709,0.001649,0.842568,0.836088,0.011509,0.021281,1
3,69,74,0.016882,0.003069,0.833937,0.841219,0.002878,0.026411,1
4,61,107,-0.019983,-0.005895,0.827353,0.811300,-0.003706,-0.003508,4
5,37,97,0.004839,0.005218,0.811887,0.812661,-0.019173,-0.002147,5
6,22,40,-0.010637,0.014760,0.824804,0.836129,-0.006256,0.021322,2
7,36,59,0.003693,0.026365,0.826662,0.828590,-0.004398,0.013782,1
8,28,37,-0.007593,0.004839,0.807212,0.802428,-0.023848,-0.012379,6
9,63,71,-0.002245,-0.017080,0.793264,0.786672,-0.037796,-0.028135,4
10,27,113,0.009823,-0.000887,0.824179,0.827643,-0.006880,0.012836,2
11,5,50,0.005346,0.033123,0.826777,0.830267,-0.004282,0.015460,1
12,59,72,0.026365,-0.011607,0.835037,0.832720,0.003978,0.017912,2
13,4,98,0.019507,-0.003523,0.840903,0.847694,0.009844,0.032886,2
14,74,91,0.003069,0.021488,0.831021,0.821823,-0.000039,0.007016,1
15,27,105,0.009823,-0.002044,0.819507,0.815889,-0.011552,0.001082,2
16,11,41,0.033611,0.002965,0.818703,0.824146,-0.012356,0.009338,1
17,88,100,0.011888,-0.007900,0.806240,0.816619,-0.024819,0.001811,2
18,5,88,0.005346,0.011888,0.826193,0.834361,-0.004866,0.019553,1
19,49,63,-0.003062,-0.002245,0.816027,0.808978,-0.015033,-0.005829,4
20,81,89,0.002912,0.008244,0.813426,0.809396,-0.017633,-0.005412,5
21,11,72,0.033611,-0.011607,0.810881,0.821054,-0.020179,0.006246,2
22,37,82,0.004839,-0.020654,0.822185,0.814188,-0.008875,-0.000619,6
23,35,41,0.013691,0.002965,0.815416,0.824868,-0.015644,0.010061,1
24,49,102,-0.003062,0.019463,0.798547,0.806658,-0.032512,-0.008150,6
25,64,92,-0.000552,-0.010799,0.814093,0.787122,-0.016966,-0.027686,4
26,72,82,-0.011607,-0.020654,0.811557,0.805544,-0.019503,-0.009264,4
27,82,109,-0.020654,-0.019073,0.800281,0.802209,-0.030779,-0.012599,4
28,29,102,-0.005577,0.019463,0.806500,0.820981,-0.024559,0.006173,2
29,2,68,-0.005941,0.006255,0.807847,0.806666,-0.023212,-0.008142,6
30,34,106,-0.013148,0.009577,0.822379,0.817451,-0.008680,0.002643,2
31,45,113,0.024382,-0.000887,0.817027,0.818114,-0.014032,0.003307,2
32,30,64,-0.014622,-0.000552,0.827420,0.811029,-0.003639,-0.003779,4
33,28,49,-0.007593,-0.003062,0.808310,0.811544,-0.022750,-0.003264,4
34,13,66,-0.006664,0.022908,0.809971,0.807910,-0.021089,-0.006898,6
35,53,80,0.006709,0.002970,0.837549,0.834550,0.006489,0.019742,1
36,64,79,-0.000552,0.023099,0.849211,0.839625,0.018151,0.024817,2
