packed deepseekv4pro: train 747 rows / 3.40 GB, val 181 rows / 0.79 GB, eval 866 rows / 0.81 GB (host)
deepseekv4pro: 439 pairs, 50 seeds, K=64 -> 7 passes/seed, 350 passes total
  seed 42 pass 1/7  (29s/pass, 0m elapsed, 168m left)
  seed 42 pass 2/7  (28s/pass, 1m elapsed, 164m left)
  seed 42 pass 3/7  (28s/pass, 1m elapsed, 162m left)
  seed 42 pass 4/7  (28s/pass, 2m elapsed, 160m left)
  seed 42 pass 5/7  (28s/pass, 2m elapsed, 160m left)
  seed 42 pass 6/7  (28s/pass, 3m elapsed, 159m left)
  seed 42 pass 7/7  (27s/pass, 3m elapsed, 156m left)
  seed 43 pass 1/7  (26s/pass, 3m elapsed, 148m left)
  seed 43 pass 2/7  (28s/pass, 4m elapsed, 159m left)
  seed 43 pass 3/7  (27s/pass, 4m elapsed, 153m left)
  seed 43 pass 4/7  (27s/pass, 5m elapsed, 153m left)
  seed 43 pass 5/7  (27s/pass, 5m elapsed, 153m left)
  seed 43 pass 6/7  (27s/pass, 6m elapsed, 154m left)
  seed 43 pass 7/7  (28s/pass, 7m elapsed, 157m left)
  seed 44 pass 1/7  (28s/pass, 7m elapsed, 157m left)
  seed 44 pass 2/7  (28s/pass, 8m elapsed, 157m left)
  seed 44 pass 3/7  (29s/pass, 8m elapsed, 158m left)
  seed 44 pass 4/7  (28s/pass, 8m elapsed, 154m left)
  seed 44 pass 5/7  (27s/pass, 9m elapsed, 151m left)
  seed 44 pass 6/7  (27s/pass, 9m elapsed, 151m left)
  seed 44 pass 7/7  (28s/pass, 10m elapsed, 155m left)
  seed 45 pass 1/7  (29s/pass, 11m elapsed, 157m left)
  seed 45 pass 2/7  (29s/pass, 11m elapsed, 159m left)
  seed 45 pass 3/7  (29s/pass, 12m elapsed, 158m left)
  seed 45 pass 4/7  (30s/pass, 12m elapsed, 162m left)
  seed 45 pass 5/7  (30s/pass, 13m elapsed, 161m left)
  seed 45 pass 6/7  (30s/pass, 14m elapsed, 164m left)
  seed 45 pass 7/7  (30s/pass, 14m elapsed, 164m left)
  seed 46 pass 1/7  (30s/pass, 15m elapsed, 161m left)
  seed 46 pass 2/7  (30s/pass, 15m elapsed, 160m left)
  seed 46 pass 3/7  (30s/pass, 15m elapsed, 159m left)
  seed 46 pass 4/7  (30s/pass, 16m elapsed, 157m left)
  seed 46 pass 5/7  (29s/pass, 16m elapsed, 155m left)
  seed 46 pass 6/7  (30s/pass, 17m elapsed, 156m left)
  seed 46 pass 7/7  (29s/pass, 17m elapsed, 154m left)
  seed 47 pass 1/7  (30s/pass, 18m elapsed, 155m left)
  seed 47 pass 2/7  (30s/pass, 19m elapsed, 157m left)
  seed 47 pass 3/7  (30s/pass, 19m elapsed, 156m left)
  seed 47 pass 4/7  (30s/pass, 19m elapsed, 155m left)
  seed 47 pass 5/7  (30s/pass, 20m elapsed, 155m left)
  seed 47 pass 6/7  (30s/pass, 20m elapsed, 154m left)
  seed 47 pass 7/7  (31s/pass, 21m elapsed, 157m left)
  seed 48 pass 1/7  (31s/pass, 22m elapsed, 157m left)
  seed 48 pass 2/7  (31s/pass, 23m elapsed, 158m left)
  seed 48 pass 3/7  (31s/pass, 24m elapsed, 160m left)
  seed 48 pass 4/7  (32s/pass, 24m elapsed, 160m left)
  seed 48 pass 5/7  (32s/pass, 25m elapsed, 160m left)
  seed 48 pass 6/7  (32s/pass, 25m elapsed, 159m left)
  seed 48 pass 7/7  (32s/pass, 26m elapsed, 160m left)
  seed 49 pass 1/7  (32s/pass, 26m elapsed, 158m left)
  seed 49 pass 2/7  (32s/pass, 27m elapsed, 158m left)
  seed 49 pass 3/7  (32s/pass, 27m elapsed, 157m left)
  seed 49 pass 4/7  (32s/pass, 28m elapsed, 156m left)
  seed 49 pass 5/7  (32s/pass, 28m elapsed, 156m left)
  seed 49 pass 6/7  (32s/pass, 29m elapsed, 155m left)
  seed 49 pass 7/7  (32s/pass, 29m elapsed, 155m left)
  seed 50 pass 1/7  (32s/pass, 30m elapsed, 154m left)
  seed 50 pass 2/7  (32s/pass, 31m elapsed, 154m left)
  seed 50 pass 3/7  (32s/pass, 31m elapsed, 154m left)
  seed 50 pass 4/7  (32s/pass, 32m elapsed, 153m left)
  seed 50 pass 5/7  (32s/pass, 32m elapsed, 152m left)
  seed 50 pass 6/7  (32s/pass, 33m elapsed, 152m left)
  seed 50 pass 7/7  (32s/pass, 33m elapsed, 151m left)
  seed 51 pass 1/7  (32s/pass, 34m elapsed, 150m left)
  seed 51 pass 2/7  (31s/pass, 34m elapsed, 149m left)
  seed 51 pass 3/7  (31s/pass, 34m elapsed, 148m left)
  seed 51 pass 4/7  (31s/pass, 35m elapsed, 148m left)
  seed 51 pass 5/7  (31s/pass, 35m elapsed, 147m left)
  seed 51 pass 6/7  (31s/pass, 36m elapsed, 146m left)
  seed 51 pass 7/7  (31s/pass, 36m elapsed, 146m left)
  seed 52 pass 1/7  (31s/pass, 37m elapsed, 145m left)
  seed 52 pass 2/7  (31s/pass, 37m elapsed, 144m left)
  seed 52 pass 3/7  (31s/pass, 38m elapsed, 143m left)
  seed 52 pass 4/7  (31s/pass, 38m elapsed, 143m left)
  seed 52 pass 5/7  (31s/pass, 39m elapsed, 142m left)
  seed 52 pass 6/7  (31s/pass, 39m elapsed, 141m left)
  seed 52 pass 7/7  (31s/pass, 40m elapsed, 140m left)
  seed 53 pass 1/7  (31s/pass, 40m elapsed, 139m left)
  seed 53 pass 2/7  (31s/pass, 40m elapsed, 138m left)
  seed 53 pass 3/7  (30s/pass, 41m elapsed, 137m left)
  seed 53 pass 4/7  (30s/pass, 41m elapsed, 136m left)
  seed 53 pass 5/7  (30s/pass, 41m elapsed, 135m left)
  seed 53 pass 6/7  (30s/pass, 42m elapsed, 134m left)
  seed 53 pass 7/7  (30s/pass, 42m elapsed, 133m left)
  seed 54 pass 1/7  (30s/pass, 43m elapsed, 133m left)
  seed 54 pass 2/7  (30s/pass, 43m elapsed, 133m left)
  seed 54 pass 3/7  (30s/pass, 44m elapsed, 132m left)
  seed 54 pass 4/7  (30s/pass, 44m elapsed, 131m left)
  seed 54 pass 5/7  (30s/pass, 45m elapsed, 131m left)
  seed 54 pass 6/7  (30s/pass, 45m elapsed, 130m left)
  seed 54 pass 7/7  (30s/pass, 46m elapsed, 130m left)
  seed 55 pass 1/7  (30s/pass, 46m elapsed, 129m left)
  seed 55 pass 2/7  (30s/pass, 47m elapsed, 129m left)
  seed 55 pass 3/7  (30s/pass, 47m elapsed, 128m left)
  seed 55 pass 4/7  (30s/pass, 48m elapsed, 128m left)
